abstract
"PM 2.5对去卵巢骨质疏松症大鼠骨密度和生物力学性能的影响目的探讨PM 2.5对去势致骨质疏松症大鼠腰椎(L3～5)、右侧股骨骨密度及左侧股骨骨生物力学特性的影响。方法将3周龄雌性SD大鼠（SPF级）适应生长一周后随机分为假手术组、模型对照组和PM 2.5低、中、高剂量组,行气道滴注PM 2.5混悬液或生理盐水,滴注5个月后将模型对照组和PM 2.5各剂量组通过切除大鼠双侧卵巢建立绝经后骨质疏松症模型,假手术组仅切除卵巢周围约1 g的脂肪组织。继续气管滴注至第9个月末,其间分别测定去势后滴注第7、9个月末各组腰椎(L3～5)、右侧股骨骨密度（bone mineral density, BMD）数值,处死大鼠后取左侧股骨进行三点弯曲试验。结果气管滴注7个月后,各组大鼠腰椎(L3～5)及右侧股骨BMD比较差异无统计学意义（P>0.05）。滴注9个月后,PM 2.5各剂量组大鼠腰椎及右侧股骨BMD明显低于模型对照组,且PM 2.5各剂量组之间呈现一定的剂量关联趋势,中、高剂量组BMD降低趋势明显,差异有统计学意义（P<0.05）。此外,从骨生物力学角度分析,与假手术组相比... "
"上市公司大股东利益侵占问题研究由于市场大环境变化、流动性趋紧等因素影响,一些上市公司大股东融资需求紧迫,催化了违规担保和资金占用现象的发生,以此侵占中小股东及投资者的利益。以银河生物为例,从公司治理视角出发,了解公司应披露未披露的违规担保与资金占用行为,详细分析了上市公司大股东利益侵占问题的成因及影响,并结合实际提出了相应的防范建议。 "
"不同放牧方式对松嫩草地地下、地上生物量及其分配比例的影响通过野外样地实验研究了放牧方式对松嫩草地植物群落地下、地上生物量及生物量向地下分配比例的影响.实验共设置了4种放牧方式:禁牧、牛单牧、羊单牧、混合放牧.结果表明:不同放牧方式对植物地下、地上生物量的影响随降水量的不同而产生年际差异.2012年降水充足,混合放牧方式下植物地下生物量最高,并显著高于禁牧、牛单牧和羊单牧,分别高出38%,118%和40%（P<0.01）;而在2013年,由于干旱胁迫,不同放牧方式对植物地下、地上生物量的影响均不显著.生物量向地下分配的比例主要受放牧方式的影响,受降水影响较小.在两年的实验中,混合放牧方式下植物向地下分配的生物量比例均为最高,达到了57%,说明混合放牧有利于植物地下部分生物量的积累;而牛单牧和羊单牧方式下植物向地下的生物量分配比例均低于50%.从植物地下生物量及其分配比例两方面考虑,在我国北方半干旱草原应该减少牲畜单独放牧,转而推行混合放牧较为合理. "
"不同施肥处理对幼龄茶树生育的影响对鄂茶1号、鄂茶10号和中茶108茶树品种分别进行复合肥（N∶P2O5∶K2O=15%∶15%∶15%）、叶用经济作物专用肥（N∶P2O5∶K2O=17%∶5%∶25%）和配方施肥（N∶P2O5∶K2O=18%∶6%∶12%） 3种施肥处理,分析了各处理对幼龄茶树萌芽数、主茎直径和生长势的影响。结果表明,各施肥处理均显著提升了3个品种幼龄茶树的萌芽数、主茎直径和生长势,其中复合肥处理提升效果显著高于其他施肥处理。基于研究结果,推荐复合肥处理作为幼龄茶树的施肥方案。 "
乌梁素海沉积物中厌氧氨氧化细菌PCR扩增方案优化[目的]对乌梁素海沉积物中厌氧氨氧化细菌的PCR扩增方案进行优化。[方法]采集乌梁素海沉积物样品，提取细菌总DNA，以厌氧氨氧化细菌功能基因Hzo基因为研究对象，通过基于普通PCR和巢式PCR筛选适宜的引物、探究不同的PCR退火条件，确立PCR引物的最佳选择以及最佳扩增条件。[结果]以HzoAB4F/HzoAB4R为引物，PCR退火温度为53℃的条件下，能获得预期的600 bp左右的条带，但由于引物二聚体的出现，对于后续菌群结构的研究可能带来一些影响，因此该扩增策略还需要继续完善;其他引物进行的PCR反应扩增，获得的结果特异性均较差。巢式PCR方案（HzoAB1F/HzoAB1R为第一轮引物、HzoAB4F/HzoAB4R作为第二轮引物），PCR退火温度为55℃的条件下，可大大提高对厌氧氨氧化细菌功能基因Hzo扩增的特异性。[结论]成功对乌梁素海沉积物中厌氧氨氧化细菌功能基因Hzo进行扩增，研究发现巢式PCR方案适用于环境中厌氧氨氧化细菌的分子生态学研究。 
人γ干扰素转座子质粒构建及其在HEK293T细胞中的表达[目的]克隆人γ干扰素（hIFNγ）基因，借助自剪切肽P2A，构建hIFNγ-P2A-RFP（红色荧光蛋白）融合基因转座子表达载体，并在HEK293T细胞中检测其表达水平。[方法]首先，以脂多糖（LPS）激活人外周血淋巴细胞，提取总RNA，经RT-PCR扩增hIFNγ基因;再通过重叠延伸PCR，获得hIFNγ-P2A-RFP融合基因，并将其插入PB002G转座子载体。经双酶切和DNA测序鉴定，将重组质粒转染HEK 293T细胞，荧光显微镜观察RFP表达，Western Blotting检测hIFNγ蛋白表达。[结果]克隆了hIFNγ基因，成功构建了PB-hIFNγ-P2A-RFP重组质粒;荧光显微镜观察发现RFP在HEK 293T细胞表达，转染效率达39.3%; Western Blotting检测显示，特异性蛋白条带约为21 kDa，与预期的hIFNγ蛋白大小一致。[结论]成功构建了人γ干扰素PB转座子真核表达质粒，该质粒在HEK 293T细胞中高效表达。 
"健骨颗粒抗去卵巢大鼠骨质疏松的血清代谢组学研究目的运用代谢组学方法从物质代谢角度探讨健骨颗粒治疗绝经后骨质疏松症的机制。方法 60只大鼠随机分为正常组、模型组和健骨颗粒组,健骨颗粒组给予健骨颗粒药液灌胃,其余组分别给予等量生理盐水灌胃干预。分别于术后6周和12周取股骨、胫骨、腰椎骨进行骨密度及骨生物力学检测,取腹主动脉血进行液相色谱-质谱（LC-MS）检测,综合单变量和多变量统计分析,鉴定并筛选血清代谢物。结果模型组较正常组骨密度和骨最大载荷显著下降,健骨颗粒组与模型组相比明显恢复,表明造模成功且健骨颗粒组有恢复正常的趋势。模型组血清代谢谱与正常组分离,健骨颗粒组接近正常组。筛选出硬脂酸、皮质酮及泛酸等27个差异代谢物,分别与不饱和脂肪酸、类固醇激素的生物合成及泛酸和辅酶A生物合成等通路有关,涉及脂代谢、核酸代谢及氨基酸代谢等。结论健骨颗粒可能通过调节多种代谢通路改善绝经后骨质疏松症。 "
"关于中国小麦生产成本现状分析与展望21世纪以来我国经济迅猛发展,工业化、城镇化进程不断加快,致使我国耕地面积趋于紧张。为了提高作物产量,农民逐渐加大生产要素投入以求提高作物产出,但一味的投入生产要素不仅不会提高粮食作物产出,反而会降低作物产出和经济效益,也损害了土地的质量影响未来的农业发展。当前我国小麦生产成本居高不下,其中最主要的也是最重要的在种子、化肥、农药、灌溉用水、机械作业、人工成本、土地成本7个方面。本文基于对我国粮食作物小麦的相关研究文献进行梳理,并对我国2014—2018年小麦生产成本进行分析,在稳定粮食作物产量基础上,尝试提出各项降低生产成本的对策以帮助我国小麦未来良好发展。 "
"卵孢金孢藻（Chrysosporum ovalisporum）——北方池塘蓝藻新记录种及水华爆发的生境特点2019年8月,在河南省安阳市易园太极湖（113°38’47.72""E,34°46’48.04""N）砂石底质的地下水源、主养锦鲤（Cyprinus carpio）、混养鲫（Carassius auratus）和■条（Hemiculter leucisclus）的池塘中,发现我国北方养殖池塘中未报道的蓝藻种类-卵孢金孢藻（Chrysosporum ovalisporum）。通过分析该藻类池塘的水体理化性质和藻类的种类组成、丰度,结果表明该池塘水体处于富营养化状态,卵孢金孢藻的丰度为193.37×105个/L,生物量为54.17×103μg/L,并讨论了卵孢金孢藻爆发水华的成因及其防控。 "
"土著微生物原位修复典型有机污染地下水研究展望地下水是地球水资源的重要组成部分,是调节生态环境健康的重要水源,在人类生产生活中发挥着重要作用,随着工农业快速发展导致的地下水污染问题受到了政府和社会各界的高度关注。针对典型有机污染地下水原位修复中存在的实际问题,阐述了绿色可持续的土著微生物原位修复技术的特点、优势和实施模式,分析了其原位修复过程中需要重点解决的关键科学问题和技术瓶颈,对土著微生物原位修复有机污染地下水的研究和工程应用进行了展望。 "
"城市公园植物病虫害可持续控制探析随着公园建设不断加速,植物种类越来越多,植物病虫害逐年加重,影响了植物的健康生长。通过分析城市公园生态系统的特点,阐述了公园植物病虫害危害特点及防治现状,从维护生态系统的整体性出发,提出病虫害可持续控制对策。 "
基于生物信息学挖掘原发性肝癌中新的生物标志物[目的]利用生物信息学挖掘原发性肝癌中新的生物标志物。[方法]分析ONCOMINE数据库中197例中国原发性肝癌患者和76例正常样本中的差异表达基因。利用生物信息学手段筛选得到生物标志物，并验证其在临床样本中的表达。采用TCGA和R软件构建预后模型;通过STRING和DAVID数据库分析其共表达基因和生物功能。最后，利用GEPIA 2.0和TIMER 2.0数据库分析其与肿瘤免疫浸润的关系。[结果]筛选得到的前42个差异表达基因（P <1.69 E-89）中，Hub基因KPNA2和RRM2的过表达会造成原发性肝癌患者的生存预后不良，但RRM2不符合多因素Cox模型。C-index:0.803（0.746-1）可预测原发性肝癌患者1、3、5年生存预后率（P <0.01）。二者可调控多条通路且与肿瘤免疫浸润显著相关（P <0.01）。[结论]过表达的KPNA2能通过调控RNA的转运、谷胱甘肽的代谢和p53通路降低患者生存预后率且符合Cox模型（P <0.01），是一种新的原发性肝癌生物标志物。C-index:0.803（0.746-1）可为临床预测患者1、3、5年生... 
微生物中嘧啶代谢途径的研究进展嘧啶是生物体内核酸的重要组成部分，目前有关嘧啶代谢途径的研究越来越深入。该文综述了国内外微生物中嘧啶代谢途径的最新进展，包括嘧啶类化合物的临床应用、其作用机制最新进展以及嘧啶的4条代谢途径的最新进展，简要概括了前人的研究成果，并从人类疾病角度提出了嘧啶代谢研究的意义和今后的发展方向。 
